move_id;level;dice_count;flat_bonus
1;5;1;1
1;6;1;1
1;7;1;1
1;8;1;1
1;9;1;1
1;10;2;2
1;11;2;2
1;12;2;2
1;13;2;2
1;14;2;2
1;15;3;3
1;16;3;3
1;17;3;3
1;18;3;3
1;19;3;3
1;20;4;4
1;21;4;4
1;22;4;4
1;23;4;4
1;24;4;4
1;25;5;5
1;26;5;5
1;27;5;5
1;28;5;5
1;29;5;5
1;30;6;6
1;31;6;6
1;32;6;6
1;33;6;6
1;34;6;6
1;35;7;7
1;36;7;7
1;37;7;7
1;38;7;7
1;39;7;7
1;40;8;8
1;41;8;8
1;42;8;8
1;43;8;8
1;44;8;8
1;45;9;9
1;46;9;9
1;47;9;9
1;48;9;9
1;49;9;9
1;50;10;10
1;51;10;10
1;52;10;10
1;53;10;10
1;54;10;10
1;55;11;11
1;56;11;11
1;57;11;11
1;58;11;11
1;59;11;11
1;60;12;12
1;61;12;12
1;62;12;12
1;63;12;12
1;64;12;12
1;65;13;13
1;66;13;13
1;67;13;13
1;68;13;13
1;69;13;13
1;70;14;14
1;71;14;14
1;72;14;14
1;73;14;14
1;74;14;14
1;75;15;15
1;76;15;15
1;77;15;15
1;78;15;15
1;79;15;15
1;80;16;16
1;81;16;16
1;82;16;16
1;83;16;16
1;84;16;16
1;85;17;17
1;86;17;17
1;87;17;17
1;88;17;17
1;89;17;17
1;90;18;18
1;91;18;18
1;92;18;18
1;93;18;18
1;94;18;18
1;95;19;19
1;96;19;19
1;97;19;19
1;98;19;19
1;99;19;19
1;100;20;20
2;5;0;0
2;6;0;0
2;7;0;0
2;8;0;0
2;9;0;0
2;10;0;0
2;11;0;0
2;12;0;0
2;13;0;0
2;14;0;0
2;15;3;1
2;16;3;1
2;17;3;1
2;18;3;1
2;19;3;1
2;20;3;1
2;21;3;1
2;22;3;2
2;23;3;2
2;24;3;2
2;25;4;2
2;26;4;2
2;27;4;2
2;28;4;2
2;29;4;3
2;30;4;3
2;31;4;3
2;32;4;3
2;33;4;3
2;34;4;3
2;35;5;3
2;36;5;4
2;37;5;4
2;38;5;4
2;39;5;4
2;40;5;4
2;41;5;4
2;42;5;4
2;43;5;5
2;44;5;5
2;45;6;5
2;46;6;5
2;47;6;5
2;48;6;5
2;49;6;5
2;50;6;6
2;51;6;6
2;52;6;6
2;53;6;6
2;54;6;6
2;55;7;6
2;56;7;6
2;57;7;7
2;58;7;7
2;59;7;7
2;60;7;7
2;61;7;7
2;62;7;7
2;63;7;7
2;64;7;8
2;65;8;8
2;66;8;8
2;67;8;8
2;68;8;8
2;69;8;8
2;70;8;8
2;71;8;9
2;72;8;9
2;73;8;9
2;74;8;9
2;75;9;9
2;76;9;9
2;77;9;9
2;78;9;10
2;79;9;10
2;80;9;10
2;81;9;10
2;82;9;10
2;83;9;10
2;84;9;10
2;85;10;11
2;86;10;11
2;87;10;11
2;88;10;11
2;89;10;11
2;90;10;11
2;91;10;11
2;92;10;12
2;93;10;12
2;94;10;12
2;95;11;12
2;96;11;12
2;97;11;12
2;98;11;12
2;99;11;13
2;100;11;13
3;5;0;0
3;6;0;0
3;7;0;0
3;8;0;0
3;9;0;0
3;10;0;0
3;11;0;0
3;12;0;0
3;13;0;0
3;14;0;0
3;15;0;0
3;16;0;0
3;17;0;0
3;18;0;0
3;19;0;0
3;20;0;0
3;21;0;0
3;22;0;0
3;23;0;0
3;24;0;0
3;25;0;0
3;26;0;0
3;27;0;0
3;28;0;0
3;29;0;0
3;30;0;0
3;31;0;0
3;32;0;0
3;33;0;0
3;34;0;0
3;35;5;0
3;36;5;0
3;37;5;0
3;38;5;0
3;39;5;0
3;40;5;0
3;41;5;0
3;42;5;0
3;43;5;0
3;44;5;0
3;45;6;0
3;46;6;0
3;47;6;0
3;48;6;0
3;49;6;0
3;50;6;0
3;51;6;0
3;52;6;0
3;53;6;0
3;54;6;0
3;55;7;0
3;56;7;0
3;57;7;0
3;58;7;0
3;59;7;0
3;60;7;0
3;61;7;0
3;62;7;0
3;63;7;0
3;64;7;0
3;65;8;0
3;66;8;0
3;67;8;0
3;68;8;0
3;69;8;0
3;70;8;0
3;71;8;0
3;72;8;0
3;73;8;0
3;74;8;0
3;75;9;0
3;76;9;0
3;77;9;0
3;78;9;0
3;79;9;0
3;80;9;0
3;81;9;0
3;82;9;0
3;83;9;0
3;84;9;0
3;85;10;0
3;86;10;0
3;87;10;0
3;88;10;0
3;89;10;0
3;90;10;0
3;91;10;0
3;92;10;0
3;93;10;0
3;94;10;0
3;95;11;0
3;96;11;0
3;97;11;0
3;98;11;0
3;99;11;0
3;100;11;0
4;5;0;0
4;6;0;0
4;7;0;0
4;8;0;0
4;9;0;0
4;10;0;0
4;11;0;0
4;12;0;0
4;13;0;0
4;14;0;0
4;15;0;0
4;16;0;0
4;17;0;0
4;18;0;0
4;19;0;0
4;20;0;0
4;21;0;0
4;22;0;0
4;23;0;0
4;24;0;0
4;25;0;0
4;26;0;0
4;27;0;0
4;28;0;0
4;29;0;0
4;30;0;0
4;31;0;0
4;32;0;0
4;33;0;0
4;34;0;0
4;35;0;0
4;36;0;0
4;37;0;0
4;38;0;0
4;39;0;0
4;40;0;0
4;41;0;0
4;42;0;0
4;43;0;0
4;44;0;0
4;45;0;0
4;46;0;0
4;47;0;0
4;48;0;0
4;49;0;0
4;50;0;0
4;51;0;0
4;52;0;0
4;53;0;0
4;54;0;0
4;55;7;1
4;56;7;1
4;57;7;1
4;58;7;1
4;59;7;1
4;60;7;1
4;61;7;2
4;62;7;2
4;63;7;2
4;64;7;2
4;65;7;2
4;66;7;2
4;67;7;3
4;68;7;3
4;69;7;3
4;70;8;3
4;71;8;3
4;72;8;3
4;73;8;4
4;74;8;4
4;75;8;4
4;76;8;4
4;77;8;4
4;78;8;4
4;79;8;5
4;80;8;5
4;81;8;5
4;82;8;5
4;83;8;5
4;84;8;5
4;85;9;6
4;86;9;6
4;87;9;6
4;88;9;6
4;89;9;6
4;90;9;6
4;91;9;7
4;92;9;7
4;93;9;7
4;94;9;7
4;95;9;7
4;96;9;7
4;97;9;8
4;98;9;8
4;99;9;8
